config,case,fit,syn,sem,sol,solMax
REALSYN,full_arbiter,0.84,0.47,0.30,374,430
REALSYN,lily02,0.93,0.78,0.54,306,359
REALSYN,lily11,0.96,0.85,0.85,445,608
REALSYN,lily15,0.92,0.73,0.42,253,402
REALSYN,lily16,0.91,0.70,0.37,196,344
REALSYN,load_balancer,0.90,0.68,0.98,384,523
REALSYN,ltl2dba_R_2,0.92,0.74,0.38,548,658
REALSYN,ltl2dba_theta_2,0.94,0.80,0.49,546,664
REALSYN,ltl2dba27,0.92,0.74,0.27,530,605
REALSYN,prioritized_arbiter,0.91,0.69,0.40,436,496
REALSYN,round_robin,0.90,0.66,1.00,649,672
REALSYN,simple_arbiter,0.94,0.79,0.56,478,545
RREAL,arbiter,0.99,0.88,0.65,381,469
RREAL,minepump,1.00,0.62,0.94,389,453
RREAL,RG1,1.00,0.61,0.88,346,458
RREAL,RG2,0.99,0.77,0.72,458,555
RREAL,Lift,1.00,0.54,1.00,220,297
RREAL,HumanoidLTL_458,0.99,0.45,0.98,569,647
RREAL,GyroUnrealizable_Var1,0.99,0.43,1.00,368,517
RREAL,GyroUnrealizable_Var2,0.99,0.47,1.00,562,663
RREAL,detector,1.13,0.66,0.83,531,566
RREAL,full_arbiter,0.76,0.31,0.31,3,7
RREAL,lily02,1.12,0.74,0.64,282,405
RREAL,lily11,1.16,0.81,0.94,350,586
RREAL,lily15,1.12,0.65,0.72,230,450
RREAL,lily16,1.10,0.67,0.55,240,398
RREAL,load_balancer,1.15,0.67,0.99,456,535
RREAL,ltl2dba_R_2,1.13,0.58,0.96,487,623
RREAL,ltl2dba_theta_2,1.14,0.71,0.85,533,609
RREAL,ltl2dba27,1.13,0.54,0.95,409,548
RREAL,prioritized_arbiter,0.89,0.53,0.28,8,25
RREAL,round_robin,1.15,0.66,1.00,646,676
RREAL,simple_arbiter,1.14,0.71,0.85,469,574
SEM,detector,0.50,0.26,0.50,0,1
SEM,full_arbiter,0.50,0.23,0.25,0,1
SEM,lily02,nan,nan,nan,0,0
SEM,lily11,0.70,0.58,0.70,2,6
SEM,lily15,nan,nan,nan,0,0
SEM,lily16,nan,nan,nan,0,0
SEM,load_balancer,0.79,0.45,0.78,3,7
SEM,ltl2dba_R_2,0.75,0.30,0.75,4,7
SEM,ltl2dba_theta_2,0.54,0.36,0.54,1,2
SEM,ltl2dba27,0.72,0.31,0.70,3,5
SEM,prioritized_arbiter,nan,nan,nan,0,0
SEM,round_robin,0.87,0.45,0.86,7,11
SEM,simple_arbiter,0.62,0.46,0.58,2,4
SYN,detector,0.44,0.44,0.25,1,3
SYN,full_arbiter,0.36,0.36,0.13,0,3
SYN,lily02,0.40,0.40,0.26,0,1
SYN,lily11,0.63,0.63,0.62,3,5
SYN,lily15,0.37,0.37,0.25,0,1
SYN,lily16,0.44,0.44,0.14,1,4
SYN,load_balancer,nan,nan,nan,0,0
SYN,ltl2dba_R_2,0.50,0.50,0.31,2,5
SYN,ltl2dba_theta_2,0.59,0.59,0.43,2,6
SYN,ltl2dba27,0.58,0.58,0.15,3,5
SYN,prioritized_arbiter,nan,nan,nan,0,0
SYN,round_robin,nan,nan,nan,0,0
SYN,simple_arbiter,0.49,0.49,0.32,0,3
SYNSEM,detector,nan,nan,nan,0,0
SYNSEM,full_arbiter,nan,nan,nan,0,0
SYNSEM,lily02,nan,nan,nan,0,0
SYNSEM,lily11,0.70,0.66,0.75,3,6
SYNSEM,lily15,nan,nan,nan,0,0
SYNSEM,lily16,nan,nan,nan,0,0
SYNSEM,load_balancer,nan,nan,nan,0,0
SYNSEM,ltl2dba_R_2,0.52,0.44,0.61,1,2
SYNSEM,ltl2dba_theta_2,0.43,0.35,0.50,0,1
SYNSEM,ltl2dba27,0.43,0.33,0.53,1,2
SYNSEM,prioritized_arbiter,nan,nan,nan,0,0
SYNSEM,round_robin,0.42,0.33,0.50,0,1
SYNSEM,simple_arbiter,nan,nan,nan,0,0
50-25-25,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.66,0.19,0.46,4,6
50-25-25,HumanoidLTL_531_Humanoid_unrealizable,0.79,0.19,0.97,44,56
50-25-25,HumanoidLTL_741_Humanoid_unrealizable,0.56,0.22,nan,63,85
50-25-25,HumanoidLTL_742_Humanoid_unrealizable,0.55,0.19,nan,99,112
50-25-25,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
50-25-25,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
50-25-25,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.55,0.15,0.29,3,6
50-15-35,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.73,0.19,0.56,3,4
50-15-35,HumanoidLTL_531_Humanoid_unrealizable,0.87,0.19,0.99,45,54
50-15-35,HumanoidLTL_741_Humanoid_unrealizable,0.53,0.22,nan,75,81
50-15-35,HumanoidLTL_742_Humanoid_unrealizable,0.53,0.19,nan,112,122
50-15-35,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
50-15-35,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
50-15-35,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.52,0.15,0.50,4,7
50-20-30,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.70,0.20,0.56,2,3
50-20-30,HumanoidLTL_531_Humanoid_unrealizable,0.83,0.19,0.95,47,53
50-20-30,HumanoidLTL_741_Humanoid_unrealizable,0.54,0.22,nan,63,75
50-20-30,HumanoidLTL_742_Humanoid_unrealizable,0.54,0.19,nan,97,115
50-20-30,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
50-20-30,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
50-20-30,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.53,0.15,nan,2,3
60-20-20,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.74,0.19,0.51,3,3
60-20-20,HumanoidLTL_531_Humanoid_unrealizable,0.84,0.19,0.99,48,68
60-20-20,HumanoidLTL_741_Humanoid_unrealizable,0.64,0.22,nan,64,69
60-20-20,HumanoidLTL_742_Humanoid_unrealizable,0.64,0.19,nan,120,125
60-20-20,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
60-20-20,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
60-20-20,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.65,0.16,0.29,4,7
60-15-25,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.77,0.20,0.57,1,1
60-15-25,HumanoidLTL_531_Humanoid_unrealizable,0.86,0.19,0.94,43,64
60-15-25,HumanoidLTL_741_Humanoid_unrealizable,0.63,0.22,nan,59,66
60-15-25,HumanoidLTL_742_Humanoid_unrealizable,0.63,0.19,nan,105,129
60-15-25,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
60-15-25,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
60-15-25,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.69,0.15,0.50,3,7
70-15-15,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.80,0.19,0.51,4,4
70-15-15,HumanoidLTL_531_Humanoid_unrealizable,0.87,0.19,0.92,55,96
70-15-15,HumanoidLTL_741_Humanoid_unrealizable,0.73,0.22,nan,49,63
70-15-15,HumanoidLTL_742_Humanoid_unrealizable,0.73,0.19,nan,83,90
70-15-15,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
70-15-15,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
70-15-15,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.72,0.15,0.50,3,8
70-10-20,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.83,0.19,0.53,2,3
70-10-20,HumanoidLTL_531_Humanoid_unrealizable,0.91,0.19,0.95,41,69
70-10-20,HumanoidLTL_741_Humanoid_unrealizable,0.72,0.22,nan,48,64
70-10-20,HumanoidLTL_742_Humanoid_unrealizable,0.72,0.19,nan,96,109
70-10-20,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
70-10-20,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
70-10-20,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.77,0.15,0.50,12,21
70-20-10,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.80,0.20,0.57,2,4
70-20-10,HumanoidLTL_531_Humanoid_unrealizable,0.84,0.19,0.95,50,74
70-20-10,HumanoidLTL_741_Humanoid_unrealizable,0.74,0.22,nan,69,96
70-20-10,HumanoidLTL_742_Humanoid_unrealizable,0.74,0.19,nan,99,105
70-20-10,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
70-20-10,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
70-20-10,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.76,0.16,0.36,4,5
80-10-10,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.87,0.19,0.50,3,4
80-10-10,HumanoidLTL_531_Humanoid_unrealizable,0.91,0.19,0.94,48,70
80-10-10,HumanoidLTL_741_Humanoid_unrealizable,0.82,0.22,nan,53,65
80-10-10,HumanoidLTL_742_Humanoid_unrealizable,0.82,0.19,nan,107,131
80-10-10,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
80-10-10,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
80-10-10,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.84,0.15,0.50,2,4
80-07-13,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.89,0.20,0.57,3,4
80-07-13,HumanoidLTL_531_Humanoid_unrealizable,0.94,0.19,0.98,86,109
80-07-13,HumanoidLTL_741_Humanoid_unrealizable,0.82,0.22,nan,67,77
80-07-13,HumanoidLTL_742_Humanoid_unrealizable,0.81,0.19,nan,100,108
80-07-13,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
80-07-13,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
80-07-13,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.83,0.15,0.50,2,2
90-05-05,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.94,0.20,0.56,2,4
90-05-05,HumanoidLTL_531_Humanoid_unrealizable,0.96,0.19,0.96,38,48
90-05-05,HumanoidLTL_741_Humanoid_unrealizable,0.91,0.22,nan,80,90
90-05-05,HumanoidLTL_742_Humanoid_unrealizable,0.91,0.19,nan,97,105
90-05-05,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
90-05-05,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
90-05-05,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.92,0.15,0.50,3,5
random,HumanoidLTL_503_Humanoid_fixed_unrealizable,nan,0.20,0.77,1,1
random,HumanoidLTL_531_Humanoid_unrealizable,nan,0.19,0.81,19,20
random,HumanoidLTL_741_Humanoid_unrealizable,nan,0.22,nan,11,12
random,HumanoidLTL_742_Humanoid_unrealizable,nan,0.19,nan,21,22
random,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
random,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,nan,nan
random,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,nan,0.16,nan,4,5
SEM,HumanoidLTL_503_Humanoid_fixed_unrealizable,nan,nan,nan,0,0
SEM,HumanoidLTL_531_Humanoid_unrealizable,0.50,0.10,0.50,0,1
SEM,HumanoidLTL_741_Humanoid_unrealizable,nan,0.11,nan,1,1
SEM,HumanoidLTL_742_Humanoid_unrealizable,nan,0.12,nan,2,3
SEM,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,0,0
SEM,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,0,0
SEM,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,nan,nan,nan,0,0
SYNSEM,HumanoidLTL_503_Humanoid_fixed_unrealizable,nan,nan,nan,0,0
SYNSEM,HumanoidLTL_531_Humanoid_unrealizable,nan,nan,nan,0,0
SYNSEM,HumanoidLTL_741_Humanoid_unrealizable,0.06,0.11,nan,0,1
SYNSEM,HumanoidLTL_742_Humanoid_unrealizable,0.06,0.13,nan,1,2
SYNSEM,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,0,0
SYNSEM,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,0,0
SYNSEM,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,nan,nan,nan,0,0
SYN,HumanoidLTL_503_Humanoid_fixed_unrealizable,nan,nan,nan,0,0
SYN,HumanoidLTL_531_Humanoid_unrealizable,0.14,0.14,0.37,2,2
SYN,HumanoidLTL_741_Humanoid_unrealizable,0.11,0.11,nan,1,1
SYN,HumanoidLTL_742_Humanoid_unrealizable,0.16,0.16,nan,4,5
SYN,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,0,0
SYN,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,0,0
SYN,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.12,0.12,0.74,2,4
REALSEM,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.65,0.15,0.41,1,3
REALSEM,HumanoidLTL_531_Humanoid_unrealizable,0.95,0.18,0.90,23,31
REALSEM,HumanoidLTL_741_Humanoid_unrealizable,0.55,0.18,nan,5,8
REALSEM,HumanoidLTL_742_Humanoid_unrealizable,0.70,0.19,nan,80,118
REALSEM,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,0,0
REALSEM,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,0,0
REALSEM,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.47,0.10,0.50,2,4
REALSYN,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.76,0.20,0.54,534,565
REALSYN,HumanoidLTL_531_Humanoid_unrealizable,0.78,0.28,0.44,737,769
REALSYN,HumanoidLTL_741_Humanoid_unrealizable,0.77,0.22,nan,362,362
REALSYN,HumanoidLTL_742_Humanoid_unrealizable,0.76,0.19,nan,355,676
REALSYN,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,0,0
REALSYN,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,0,0
REALSYN,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.75,0.15,0.42,7,11
RREAL,HumanoidLTL_503_Humanoid_fixed_unrealizable,0.85,0.16,0.45,6,6
RREAL,HumanoidLTL_531_Humanoid_unrealizable,0.99,0.19,0.91,38,58
RREAL,HumanoidLTL_741_Humanoid_unrealizable,0.98,0.22,nan,63,87
RREAL,HumanoidLTL_742_Humanoid_unrealizable,0.98,0.19,nan,90,100
RREAL,PcarLTL_769_PCar_fixed_unrealizable,nan,nan,nan,0,0
RREAL,PCarLTL_Unrealizable_V_1_unrealizable.0_870_PCar_fixed_unrealizable,nan,nan,nan,0,0
RREAL,PCarLTL_Unrealizable_V_2_unrealizable.0_888_PCar_fixed_unrealizable,0.83,0.13,0.57,4,6
